user_id,track_slug,subscription_date
139721,ENTRI_GOLD,27-07-2021
139721,Stock_mar,22-06-2021
139721,Computer_Tech,22-06-2021
139721,APPSC,22-06-2021
139721,GATE_Civil,22-06-2021
139721,Civil_Tech,22-06-2021
139721,GATE_Electronics,22-06-2021
139721,Spoken_eng_hindi,22-06-2021
139721,Youtube_telugu,22-06-2021
139721,GATE_Mechanical,22-06-2021
139721,Anb_eng,22-06-2021
139721,Staff_Nurse,22-06-2021
139721,Eng_With_Awal,22-06-2021
139721,Digi_Mark,22-06-2021
139721,Mech_Tech,22-06-2021
139721,SE_Junior,22-06-2021
139721,GATE-Electrical,22-06-2021
139721,STUH,22-06-2021
139721,UPGOVT,22-06-2021
139721,Eng_Inver_Coc,22-06-2021
139721,K_HSA,22-06-2021
139721,Kerala_AS,22-06-2021
139721,KTET,22-06-2021
139721,rrb,22-06-2021
139721,EC_Tech,22-06-2021
139721,Quant_Easy,22-06-2021
139721,Tet,22-06-2021
139721,Busi_Course,22-06-2021
139721,Fin_Acc,22-06-2021
139721,DSSSB,22-06-2021
139721,Arts_Sales,22-06-2021
139721,SUPERTET,22-06-2021
139721,Apti_ess,22-06-2021
139721,NET,22-06-2021
139721,karnataka-psc,22-06-2021
139721,CO-BANK,16-07-2021
139721,ssc,22-06-2021
140453,Spoken_eng_hindi,22-06-2021
140697,kerala-psc,22-06-2021
140697,NET,22-06-2021
141215,kerala-psc,22-06-2021
141215,OP_KWA,17-07-2021
141215,Eng_Inver_Coc,19-07-2021
141298,Spoken_eng_hindi,22-06-2021
141525,kerala-psc,22-06-2021
141591,Eng_Inver_Coc,22-06-2021
141836,Spoken_eng_hindi,22-06-2021
141844,kerala-psc,22-06-2021
142234,Spoken_eng_hindi,22-06-2021
142315,kerala-psc,22-06-2021
142315,NET,17-07-2021
142885,Spoken_eng_hindi,22-06-2021
144412,PCB_Tech,23-06-2021
144412,kerala-psc,30-07-2021
144649,Spoken_eng_hindi,23-06-2021
144826,kerala-psc,23-06-2021
145199,Apti_ess,23-06-2021
145829,Spoken_eng_hindi,23-06-2021
146028,Spoken_eng_hindi,23-06-2021
146116,Apti_ess,23-06-2021
147198,Spoken_eng_hindi,23-06-2021
147358,PCB_Tech,24-06-2021
147358,kerala-psc,24-06-2021
147358,Digi_Mark,24-06-2021
147358,Eng_Inver_Coc,24-06-2021
147358,Kerala_AS,23-06-2021
147358,KTET,24-06-2021
147358,NET,24-06-2021
147750,Spoken_eng_hindi,23-06-2021
147964,Spoken_eng_hindi,23-06-2021
148271,kerala-psc,24-06-2021
148303,kerala-psc,24-06-2021
149264,kerala-psc,24-06-2021
149264,rrb,24-06-2021
149419,KTET,24-06-2021
149670,Apti_ess,24-06-2021
149901,spoken-english,24-06-2021
149989,KTET,24-07-2021
149989,Apti_ess,24-06-2021
150098,BANK-INS,24-06-2021
150098,Spoken_eng_hindi,24-06-2021
150634,Spoken_eng_hindi,24-06-2021
150909,spoken-english,24-06-2021
151341,Spoken_eng_hindi,24-06-2021
151840,Spoken_eng_hindi,24-06-2021
