user_uid,date_joined,date_of_first_purhcase
343379,21-07-2021,
343543,21-07-2021,
343939,22-07-2021,
344428,22-07-2021,
345287,22-07-2021,22-07-2021
346708,22-07-2021,21-07-2021
347170,22-07-2021,
347661,22-07-2021,
347821,22-07-2021,
349523,22-07-2021,
349898,23-07-2021,23-07-2021
350110,23-07-2021,24-07-2021
351010,23-07-2021,23-07-2021
351107,23-07-2021,24-07-2021
351249,23-07-2021,
351494,23-07-2021,
351597,23-07-2021,23-07-2021
352001,23-07-2021,02-08-2021
352699,23-07-2021,24-07-2021
352769,23-07-2021,
353235,23-07-2021,24-07-2021
353421,23-07-2021,03-08-2021
354836,23-07-2021,26-07-2021
355940,24-07-2021,24-07-2021
356111,24-07-2021,
356129,24-07-2021,
356478,24-07-2021,
356835,24-07-2021,23-07-2021
357182,24-07-2021,23-07-2021
357669,24-07-2021,
358906,24-07-2021,
359011,24-07-2021,24-07-2021
359247,24-07-2021,31-07-2021
359305,24-07-2021,24-07-2021
359369,24-07-2021,26-07-2021
360275,24-07-2021,28-07-2021
360548,24-07-2021,29-07-2021
360833,24-07-2021,
360912,25-07-2021,24-07-2021
361003,25-07-2021,01-08-2021
361230,25-07-2021,
361447,25-07-2021,
361470,25-07-2021,
362281,25-07-2021,
362800,25-07-2021,27-07-2021
363560,25-07-2021,24-07-2021
363769,25-07-2021,27-07-2021
363942,25-07-2021,24-07-2021
365769,25-07-2021,
366555,25-07-2021,25-07-2021
367020,26-07-2021,
369036,26-07-2021,
369268,26-07-2021,
369358,26-07-2021,
369431,26-07-2021,
370158,26-07-2021,
370221,26-07-2021,26-07-2021
370243,26-07-2021,
370261,26-07-2021,26-07-2021
370323,26-07-2021,26-07-2021
370482,26-07-2021,29-07-2021
370713,26-07-2021,
371159,26-07-2021,30-07-2021
371174,26-07-2021,26-07-2021
371627,26-07-2021,
373114,27-07-2021,
373413,27-07-2021,
373542,27-07-2021,
374291,27-07-2021,
375461,27-07-2021,27-07-2021
375853,27-07-2021,01-08-2021
375865,27-07-2021,
375959,27-07-2021,
376096,27-07-2021,28-07-2021
376346,27-07-2021,
376430,27-07-2021,26-07-2021
377008,27-07-2021,27-07-2021
377339,27-07-2021,27-07-2021
378073,27-07-2021,27-07-2021
378188,28-07-2021,31-07-2021
378432,28-07-2021,27-07-2021
378675,28-07-2021,
379329,28-07-2021,
379523,28-07-2021,
379766,28-07-2021,27-07-2021
379903,28-07-2021,27-07-2021
380498,28-07-2021,
380655,28-07-2021,
381425,28-07-2021,31-07-2021
381478,28-07-2021,29-07-2021
381538,28-07-2021,31-07-2021
381811,28-07-2021,
382049,28-07-2021,30-07-2021
382792,28-07-2021,27-07-2021
382931,28-07-2021,28-07-2021
383058,28-07-2021,29-07-2021
383858,29-07-2021,
384117,29-07-2021,
384738,29-07-2021,31-07-2021
384876,29-07-2021,29-07-2021
385786,29-07-2021,29-07-2021
386028,29-07-2021,
387209,29-07-2021,03-08-2021
387286,29-07-2021,29-07-2021
388551,29-07-2021,
388642,29-07-2021,29-07-2021
388674,29-07-2021,29-07-2021
390115,30-07-2021,29-07-2021
390502,30-07-2021,30-07-2021
390708,30-07-2021,30-07-2021
391477,30-07-2021,01-08-2021
392313,30-07-2021,
